Scientific name,Synonym,Common Name,Family,Native/Introduced,Status/IUCN,COI,Key Features,Description,Body Size,Ecology ,Distribution,Habitat Traits,       Other information,Citation,Picture Reference
Cryptocentrus cyanotaenia,Not Available,Lagoon shrimpgoby,Gobiidae,Native,Least Concern (LC),TZAIB080-06 - Cryptocentrus cyanotaenia [COI-5P:640],Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 10.,"Characterized by brownish grey color; head and base of pectoral fin with numerous short blue oblique lines; 4-5 diffuse dark bars on side; anal fin with grey and yellow stripes; united pelvic fins, presence of frenum; longitudinal scale series 110; head without scales; greatest depth of body about 5.6 in SL; oblong caudal fin, slightly longer than head length ",Up to 12.0 cm,A pair shares a burrow with a Alpheus sp,"Western Pacific and eastern Indian Ocean: Andaman Sea, Brunei, and Indonesia, east to New Guinea.","Found on fine sand bottoms in protected areas. Inhabits protected fine-sand lagoons or bays in 2-12 depth range. Also found in silty coastal reefs, often in turbid water with poor visibility. Marine; reef-associated; depth range 1 - 12 m. Tropical",Not Available,https://fishbase.mnhn.fr/summary/Cryptocentrus-cyanotaenia.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=56816&what=species
Ctenogobiops crocineus,Not Available,Silverspot shrimpgoby,Gobiidae,Native,Least Concern (LC),"GBGCA2107-13 - Ctenogobiops crocineus [COI-5P:1000]	","Dorsal spines (total): 7; Dorsal soft rays (total): 112; Anal spines: 1; Anal soft rays: 11. V-shaped mark dorsally on snout absent; in life, no small yellow flecks ventrally on body; larger dark spots on ventral half of body often encircled with blue dots; pectoral fins with a small white dash at upper base, a long white streak from base, narrowing into middle of fin","A pale shrimpgoby with four rows of brown spotted and/or dashed lines along the side (midlateral line most distinct), two parallel oblique orange dashed-lines on cheek, larger dark spots along lower sides often encircled with blue dots, pectoral fin with a long white streak, and a small white dash on the upper pectoral-fin base. ",Up to 5.5 cm,Shares burrows with alpheid shrimps of the genus Alpheus on sand and rubble areas adjacent to the reef.,"Red Sea, Indo-West Pacific: East Africa east to Philippines and New Guinea, north to Ryukyu Islands, south to Queensland (Australia) and New Caledonia.",Marine; reef-associated; depth range 1 - 15 m Tropical,Not Available,"https://fishbase.mnhn.fr/summary/Ctenogobiops-crocineus.htmlBray, D.J. 2021, Ctenogobiops crocineus in Fishes of Australia, accessed 26 Jun 2024, https://fishesofaustralia.net.au/home/species/105
",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=3&ID=66998&what=species
Eviota afelei,Not Available,Afele's dwarfgoby,Gobiidae,Native,Least Concern (LC),"LIDMA1950-14 - Eviota afelei [COI-5P:652]	","Dorsal spines (total): 7; Dorsal soft rays (total): 8-9; Anal spines: 1; Anal soft rays: 6 - 8. This species is distinguished by the following characters: cephalic sensory-canal pore system lacking only the IT pore (pattern 2); branched pectoral-fin rays; dorsal/anal-fin formula is 9/8; the fifth pelvic-fin is ray small or rudimentary (about 10% of 4th pelvic ray); caudal fin has rows of small dark spots set close together on rays, membranes dark; presence of a small dark spot over preural centrum associated with last subcutaneous bar may be present; the scale edges are not dark ","A tiny translucent greyish to greenish goby with irregular internal orange-brown bars along the sides, a dark vertical line on each scale, a pale greyish head with vertically elongate orange-brown spots, three dark spots on body along anal-fin base, and a dark spinous dorsal fin (the central portion may be pale in females). ",Up to 1.8 cm,Benthic spawner.. ,"West Pacific: Timor Sea, Papua New Guinea, Oceania to Tuamotu Archipelago.","Occurs on algal mats of shallow exposed reefs.
Marine; reef-associated; depth range 0 - 3 m. Tropical; 20°N - 24°S",Not Available,"Bray, D.J. 2020, Eviota afelei in Fishes of Australia, accessed 26 Jun 2024, https://fishesofaustralia.net.au/home/species/1341 https://fishbase.mnhn.fr/summary/Eviota-afelei.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=7258&what=species
Eviota brahmi,Not Available,Brahm’s dwarfgoby,Gobiidae,Native ,Data Deficient,"ANGBF36152-19 - Eviota brahmi [COI-5P:1163]	"," Dorsal spines (total): 7; Dorsal soft rays (total): 9-11; Anal spines: 1; Anal soft rays: 8 - 10. This species is distinguished from its congeners by the following characters: entire lower body with a red stripe, from the eye back to caudal-fin base where it grades into black ending in a dorsally asymmetrical spot that angles sharply towards the ventral portion of the caudal fin; pectoral-fin base with line of small black dots extending down to its base","In life, the ventral red stripe is bordered dorsally by a bright white stripe that runs from the top of the head back to the caudal fin where it curves down following the angled black spot; the eye without a narrow white line on the iris above the pupil; a wide white line extends up the interorbital area, the width of the line extending from eye to eye",Up to 1.7 cm,NA,Papua New Guinea.,Marine; reef-associated; depth range 0 - 20 m. Tropical,Not Available,https://fishbase.mnhn.fr/summary/Eviota-brahmi.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=67334&what=species
Eviota dorsopurpurea,Not Available,Purple dwarfgoby,Gobiidae,Native,Least Concern (LC),Not Available," Dorsal spines (total): 7; Dorsal soft rays (total): 8-9; Anal spines: 1; Anal soft rays: 7 - 9. characterized further by having ctenoid scales, none on head, nape and pectoral fin base; separated pelvic fins, thin membrane joins bases","This species is distinguished from its congeners by the following set of characters: a dark band on lower body from snout, across the lower half of the eye back to the caudal-fin base ending in a semi-circle; larger specimens with pectoral-fin base having a reversed L-shaped row of small black dots",Up to 1.7 cm,"Forms groups among branches of Acopora coral, inhabits sheltered reefs in 8-30 m ",Western Pacific: Papua New Guinea and D'Entrecasteaux Islands.,Marine; reef-associated; depth range 8 - 30 m. Tropical,Not Available,https://fishbase.mnhn.fr/summary/Eviota-dorsopurpurea.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=66244&what=species
Eviota fasciola,Not Available,Barred dwarfgoby,Gobiidae,Native,Least Concern (LC),"UKFBJ571-08 - Eviota fasciola [COI-5P:619]	", Dorsal spines (total): 7; Dorsal soft rays (total): 8-9; Anal spines: 1; Anal soft rays: 8 - 9; Vertebrae: 26 - 27. This species is distinguished by the following characters: complete cephalic sensory-canal pore system; dorsal/anal-fin formula 9/8; branched pectoral-fin rays; absence of fifth pelvic-fin ray; non-fimbriate urogenital papilla; pectoral-fin base with a single dark vertical bar; the body is light with numerous dark bands on almost full depth of the body,"A pale pygmygoby with a large dark bar covering most of the pectoral-fin base, numerous prominent dark bars (usually wider than the pale interspaces) across the back extending almost to the ventral surface, and a dark bar on the middle of the caudal peduncle.",Up to 2.5 cm,Benthic spawner. Secretive in corals.,"Western Pacific: Papua New Guinea, Australia to Micronesia.","Inhabits shallow reef flats, secretive in corals (Ref. 48637). Common along wave-swept reef margins.Marine; reef-associated; depth range 1 - 15 m. Tropical; 30°N - 24°S",Not Available,https://fishbase.mnhn.fr/summary/Eviota-fasciola.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=7262&what=species
Eviota jewettae,Not Available,Jewett’s dwarfgoby,Gobiidae,Native,Least Concern (LC),"PHILV251-15 - Eviota jewettae [COI-5P:655]	",Dorsal spines (total): 6; Dorsal soft rays (total): 8; Anal spines: 1; Anal soft rays: 8. This species is distinguished from congeners by the following set of characters: cephalic sensory-pore system lacking all pores 98% of the time; dorsal/anal fin-ray formula 8/8; pectoral-fin rays 15-16,"Non-filamentous dorsal-fin spines, tubular anterior nares short, less than ½ pupil diameter in length; when alive, body is translucent and crossed by five broad orange to red bands ",Up to 1.2 cm,NA,"Palau, Philippines and Papua New Guinea.",Marine; reef-associated; depth range 7 - 33 m. Tropical,Not Available,https://fishbase.mnhn.fr/summary/Eviota-jewettae.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=66681&what=species
Eviota lachdeberei,Not Available,Lachdebere's dwarfgoby,Gobiidae,Native ,Least Concern (LC),"ANGBF2570-12 - Eviota lachdeberei [COI-5P:1089]	","Dorsal spines (total): 7; Dorsal soft rays (total): 7-9; Anal spines: 1; Anal soft rays: 6 - 7. all pectoral rays unbranched; longitudinal scale series 21-23; ctenoid scales, absent on head, nape and pectoral fin base; separated pelvic fins, thin membrane joining bases; well developed fifth pelvic ray, 50-70% length of fourth ray; 3-6 branches of fourth pelvic ray; depth of body 3.6-5.0 in SL","Characterized by dark purplish brown body color with three white spots anteriorly on middle of side; presence of series of small white spots beginning on nape, continuing along base of dorsal fin and ending on dorsal surface of caudal peduncle; caudal fin base with red-edged black spot; iris reddish; first four dorsal spines elongate or filamentous in male ",Up to 2.1 cm,Reported to be associated with the mushroom Heliofungia actiniformis. ,"Indonesia, Papua New Guinea and Solomon Islands; Australia.",Marine; reef-associated; depth range 3 - 20 m. Tropical; 8°N - 18°S. Inhabits silty sheltered reefs,Not Available,https://fishbase.mnhn.fr/summary/Eviota-lachdeberei.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=4&ID=7265&what=species
Eviota nigriventris,Not Available,Redbelly dwarfgoby,Gobiidae,Native ,Data Deficient,"LIFSA137-08 - Eviota nigriventris [COI-5P:652]	",Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 9; Anal spines: 1; Anal soft rays: 8. ,"Genital papilla of male non-fimbriate; usually pectoral-fin base with a few chromatophores restricted to an area across from the top few fin rays, but more pigmentation on the rest of the base can be present; when preserved ventral half of body with a slightly dusky stripe, wider than eye diameter at middle of anal fin, with a dark semi-circular spot at the caudal-fin base. When alive: ventral half of body red with a narrow white line above it running the length of the body; eye with a narrow white line running across it above the pupil, a short white line behind the eye, and a small white spot under the eye",Up to 3.0 cm,Lives among branching and encrusting Acropora corals,"Western Pacific: East Andaman Sea, Papua New Guinea, East Indian region, east to Chesterfield Islands, north to Ryukyu Islands.  But now known from Banda Sea, Halmajera and Raja Ampart, Indonesia [on ref. 33294].",Lagoon reefs at depths of 10 or more. Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 9; Anal spines: 1; Anal soft rays: 8.,Not Available,https://fishbase.mnhn.fr/summary/Eviota-nigriventris.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=7214&what=species
Eviota prasites,Not Available,Hairfin dwarfgoby,Gobiidae,Native,Least Concern (LC),"LIFS564-08 - Eviota prasites [COI-5P:652]	","Dorsal spines (total): 7; Dorsal soft rays (total): 8-9; Anal spines: 1; Anal soft rays: 6 - 7. This species is distinguished by the following characters: cephalic sensory-canal pore system lacks the IT pore (pattern 2); unbranched pectoral-fin rays; dorsal/anal-fin formula is 8/7; fifth pelvic-fin ray 40% of fourth ray; abdomen without the black peritoneum clearly visible externally; upper portion of pectoral-fin base with a dark spot when dead, and which is lacking or less visible in life; when alive. there is a distinctive red line running from the tip of the lower jaw back under the eye across the cheek","A small translucent pygmy goby with a red internal body stripe bordered above by white dashes, and below with two rows of broken white stripes on the lower forebody, white stripes on the head, and short red dashes across the back.",Up to 3.0 cm,Small groups,"West Pacific: Mariana Islands, Samoa, Australia to Japan, Philippines, Papua New Guinea and Solomon Islands (not East Africa).",Inhabits rubble of lagoon reefs. Also occurs in various reef habitats to about 15 meters depth. arine; reef-associated; depth range 1 - 30 m. Tropical; 10°N - 23°S,Not Available,https://fishbase.mnhn.fr/summary/Eviota-prasites.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=7271&what=species
Eviota rubrisparsa,Not Available,Redspeckled dwarfgoby,Gobiidae,Native,Least Concern (LC),"GBGCA7353-15 - Eviota rubrisparsa [COI-5P:1183]	","Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 1; Anal soft rays: 8.  body with no distinct large dark marks; anal fin and lower half of caudal fin dark; scattered melanophores behind eyes on nape; when alive, small red dots cover the body but these disappear when preserved in ethyl alcohol; characterized further by longitudinal scale series 25; ctenoid scales, none on head, nape, breast and pectoral fin base; depth of body 4.7-5.6 in SL","A greyish semi-translucent goby speckled with small red spots, with a white internal stripe above the vertebral column interrupted by red dashes, an orange-red blotch on the gill cover, orange red spots and dashes on the head, and about six bars on the upper iris",Up to 2.0 cm,Inhabits sandy-rubble bottoms in depths of 4-15 m,"Indo-west Pacific: Christmas Island, Indonesia, Papua New Guinea and Solomon Islands.",Inhabits sandy-rubble bottoms in depths of 4-15 m. Marine; reef-associated; depth range 20 - 28 m. Tropical,Not Available,"Dianne J. Bray, Eviota rubrisparsa in Fishes of Australia, accessed 26 Jun 2024, https://fishesofaustralia.net.au/home/species/5023 https://fishbase.mnhn.fr/summary/Eviota-rubrisparsa.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=65432&what=species
Eviota sigillata,Not Available,Adorned dwarfgoby,Gobiidae,Native,Least Concern (LC),"ANGBF2564-12 - Eviota sigillata [COI-5P:877]	","Dorsal spines (total): 7; Dorsal soft rays (total): 8-10; Anal spines: 1; Anal soft rays: 7 - 8. Characterized by semi-translucent body with irregular, internal reddish midlateral stripe; white stripe along spinal column interrupted by reddish bars that extend ventrally; row of small reddish spots along dorsal midline; usually with narrow reddish bars above anal fin; often prolonged and filamentous first four dorsal spines of male and first three of female; unbranched pectoral rays; longitudinal scale series 21-24; ctenoid scales, absent on head , nape and pectoral fin base; depth of body 4.3-5.0 in SL ","A semi-translucent pygmygoby with an irregular, internal reddish midlateral stripe, a white stripe along spinal column interrupted by reddish bars that extend ventrally, a row of small reddish spots along the dorsal midline, and narrow reddish bars usually above the anal fin. The first four dorsal-fin spines of males are often prolonged and filamentous, as are the first three dorsal-fin spines of females. ",Up to 3.0 cm,"Adults live for 59 days at the most, with larvae spending three weeks in the open ocean and maturing within two weeks of settling on a reef, leaving the adults (which are 1 to 2 centimeters long) just three weeks to reproduce. This strategy of 'live fast, die young' is perceived to be a response to intense predation. Daily mortality rate, from tag-recapture data, might be as high as 8%. Spawning appears to be repeated on a regular cycle, semilunar or every 14 days","Indo-West Pacific: Madagascar and Seychelles to Australia and Papua New Guinea, north to Caroline Islands; ranges throughout East Indian region.",Occur at depths less than 4 to between 17 and 21 m on sandy bottoms of lagoon reefs. Marine; reef-associated; depth range 3 - 20 m. Tropical,Not Available,"Bray, D.J. 2019, Eviota sigillata in Fishes of Australia, accessed 26 Jun 2024, https://fishesofaustralia.net.au/home/species/1360
https://fishbase.mnhn.fr/summary/Eviota-sigillata.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=7276&what=species
Eviota spilota,Not Available,Spottedfin dwarfgoby,Gobiidae,Native,Not Evaluated ,"ANGBF2633-12 - Eviota spilota [COI-5P:1089]	","Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 8-9; Anal spines: 1; Anal soft rays: 7 - 8. longitudinal scale series 23-25; ctenoid scales except on head, nape, breast and base of pectoral fin; separated pelvic fins, bases joins by thin membrane; fourth pelvic ray with 3-8 branches; depth of body 3.9-4.5 in SL"," Characterized by translucent body with internal reddish-brown stripe, white dash-like markings immediately above and similar markings at level of upper pectoral fin base extending to middle of body; cheek with short brown stripe across; snout to occiput with white line on dorsal midline, side of snout with dark stripe; pupil-sized bluish spot at upper pectoral fin base; spots along base of dorsal fin, small and red-brown color; posteroventral body with six short internal brownish bars",Up to 2.1 cm,"Found in coral reefs, inshore.","Indo-West Pacific: East Andaman Sea to Malaysia, Philippines and Papua New Guinea.","Found in coral reefs, inshore. Marine; demersal; depth range 0 - 9 m. Tropical",Not Available,https://fishbase.mnhn.fr/summary/Eviota-spilota.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=7638&what=species
Favonigobius melanobranchus,Not Available,Blackthroat goby,Gobiidae,Native,Lower Risk/Near threateaned (LR/nt),"GOBY058-07 - Favonigobius melanobranchus [COI-5P:645]	","Dorsal spines (total): 7; Dorsal soft rays (total): 8-9; Anal spines: 1; Anal soft rays: 8 - 9. longitudinal scale series 27-28; ctenoid scales except cycloid on breast and base of pectoral fin base; predorsal scales 1-2, no scales on remainder of head; depth of body 5.8-6.2 in SL ","Body with small spots; sides with 4-5 groups of black spots, last spot on caudal peduncle often paired and ending with a thin vertical bar at caudal fin base. Males with 6-8 dark vertical lines on belly; dorsal, anal and pelvic fins dusky to black; caudal fin with thin wavy bars and upper margin with 1-2 black spots. Females with spotted fins except for pelvic fins; characterized further by having pelvic fins united medially; presence of pelvic frenum; rounded caudal fin ",Up to 8.3 cm,Facultative air-breathing in the genus,"Indo-West Pacific: Red Sea, Natal, Arabian Gulf, Thailand, Indonesia, Papua New Guinea and northern Australia; Mediterrranean Sea immigrant.",Inhabits silty sand bottoms and seagrass areas. Marine; brackish; demersal; depth range 0 - 5 m. Subtropical,Not Available,https://fishbase.mnhn.fr/summary/Favonigobius-melanobranchus.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=17052&what=species
Glossogobius bicirrhosus,Not Available,Bearded flathead goby,Gobiidae,Native,Least Concern (LC),"GLOSS051-21 - Glossogobius bicirrhosus [COI-5P:548]	",. Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 1; Anal soft rays: 8,"A small yellowish-brown goby with four faint bands along the back, a row of 5 dark blotches along the side between the bands, a darkish cheek, oblique lines of dark spots on the dorsal fin and vertical brown bands on the caudal fin",Up to 9.0 cm,"Adults inhabit tidal creeks and river mouths, usually in brackish water, but occasionally penetrate fresh water. ","Western Pacific: Indonesia east to Philippines and New Guinea, north to southern Japan, south to Queensland (Australia).","Adults inhabit tidal creeks and river mouths, usually in brackish water, but occasionally penetrate fresh water. Marine; freshwater; brackish; demersal; amphidromous. Tropical; 25°C - ? ",Not Available,"Gomon, M.F. & Bray, D.J. 2017, Glossogobius bicirrhosus in Fishes of Australia, accessed 26 Jun 2024, https://fishesofaustralia.net.au/home/species/125
https://fishbase.mnhn.fr/summary/Glossogobius-bicirrhosus.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=11804&what=species
Glossogobius circumspectus,Not Available,Circumspect goby ,Gobiidae,Native,Least Concern (LC),"GLOSS028-21 - Glossogobius circumspectus [COI-5P:598]	"," Two dorsal fins, first tall, triangular, about as high as body, second spine longest; second dorsal and anal fin lower than body. Caudal fin oblong, about as long as head, rounded. Ventral fins fully united into disc. Pectoral and ventral fin a little shorter than head.","A large goby with 5-6 irregular brown stripes and staggered rows of spots on the body, 5 variably distinct large dark blotches on the midside, plain anal and pelvic fins plain, and irregular bands of dark lines and spots on the caudal fin. The Mangrove Flathead Goby has no blackish spots along the back.",Up to 35.0 cm,"Rests on mud, sand or gravel bottoms","Western Pacific and southeastern Indian Ocean: Thailand, Philippines, Malaysia, Indonesia and New Guinea.","Occurs in brackish waters of tidal creeks and river mouths, usually among mangroves. Penetrates the lower reaches of freshwater streams within about 10 kilometers of the sea. Freshwater; brackish; demersal. Tropical",Not Available,"Gomon, M.F. & Bray, D.J. 2016, Glossogobius circumspectus in Fishes of Australia, accessed 27 Jun 2024, https://fishesofaustralia.net.au/home/species/127 https://fishbase.mnhn.fr/summary/Glossogobius-circumspectus.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=25074&what=species
Glossogobius coatesi,Not Available,Coates' goby,Gobiidae,Native,Least Concern (LC),"GLOSS043-21 - Glossogobius coatesi [COI-5P:548]	", Dorsal spines (total): 7; Dorsal soft rays (total): 8; Anal spines: 1; Anal soft rays: 8,"Characterized by  low number of second dorsal rays (1.8), usually 1.8 anal rays, slightly thickened pelvic fins slightly elongated, 27 vertebrae, five large black blotches down the middle of side.",Up to 10.0 cm,Occurs in main river channels and smaller tributaries in both open plain and rainforest habitats to elevations of at least 125 m.  ,Papua New Guinea.,Occurs in main river channels and smaller tributaries in both open plain and rainforest habitats to elevations of at least 125 m.  Freshwater; demersal. Tropical; 3°S - 6°S,Not Available,https://fishbase.mnhn.fr/summary/Glossogobius-coatesi.html https://museum.wa.gov.au/research/records-supplements/records/descriptions-two-new-freshwater-glossogobius-pisces-gobiidae-no,
Glossogobius concavifrons,Not Available,Concave goby,Gobiidae,Native,Least Concern (LC),"GLOSS032-21 - Glossogobius concavifrons [COI-5P:548]	",Dorsal spines (total): 7; Dorsal soft rays (total): 10-11; Anal spines: 1; Anal soft rays: 8 - 9,"A mottled brown to tan goby becoming paler on the sides and below, with 7-8 indistinct dark brown blotches on the midside, dark scale edges forming a network pattern, plain anal and pelvic fins, a distinctive large black spot posteriorly in the first dorsal fin, and the caudal fin mottled with dark spots.",Up to 12.0 cm,Feeds mainly on insects and crustaceans. ,Australia and New Guinea.,"Found in both large turbid lowland rivers and relatively steep gradient tributaries in mountainous terrain. Occurs in clear, flowing streams over gravel or rock bottoms. Freshwater; demersal. Tropical; 5°S - 14°S",Not Available,"Gomon, M.F. & Bray, D.J. 2016, Glossogobius concavifrons in Fishes of Australia, accessed 27 Jun 2024, https://fishesofaustralia.net.au/home/species/128 https://fishbase.mnhn.fr/summary/Glossogobius-concavifrons.html",https://fishesofaustralia.net.au/home/species/128#summary
Glossogobius munroi,Not Available,Square blotch goby,Gobiidae,Native,Least Concern (LC),"GLOSS019-21 - Glossogobius munroi [COI-5P:598]	","Distinguished by the following characters: mouth moderate; reaching to below anterior margin of eye; operculum with large patch of small mostly cycloid scales (10-20 scales) in 2 or 3 rows; pectoral base covered with small cycloid scales in adult, partly scaled to naked in specimens below 40 mm SL ; first dorsal fin usually with small black spot posteriorly; second dorsal rays usually I,9; pectoral rays 18-22; predorsal scale count 18-24; no extra lateral canal pores above operculum; papilla line 6 absent; papilla lines composed of single row of papillae; body with a series of large spots on midside, each covering 2-3 scales in longitudinal direction on midside and one row above and one row below midside scales ",Goby blotched with darck patches throughout body and fins. ,Up to 11.0 cm,"The species is most likely amphidromous, breeding in freshwater, with marine larval and post-larval stages, before returning to rivers. ","Western Australia to Queensland, southern Papua and Papua New Guinea.",Known from freshwater from about 1 km above tidal influence to 400 km inland. Freshwater; demersal. Tropical,Not Available,"Dianne J. Bray, Glossogobius munroi in Fishes of Australia, accessed 27 Jun 2024, https://fishesofaustralia.net.au/home/species/5187 https://fishbase.mnhn.fr/summary/Glossogobius-munroi.html",https://fishesofaustralia.net.au/home/species/5187#summary
Glossogobius robertsi,Not Available,,Gobiidae,Native,Near Threatened (NT),"GLOSS030-21 - Glossogobius robertsi [COI-5P:548]	","Anal spines: 1; Anal soft rays: 8. A species of Glossogobius with mental frenum formed by short lateral lobes; cheek and operculum naked; predorsal scaled to near eye; pectoral base and prepelvic area only partly scaled; second dorsal fin-rays I,9-10; anal-fin rays I,8; pectoral rays usually 19; predorsal scale count 16-22; pelvic fin oval, slightly thickened, length subequal to or slightly longer than wide; midsides with large brown spots","Glossogobius robertsi is easily separated from other species (Glossogobius celebius, G. torrentis, G. coatesi and other species described as new herein) with a developed lobed mental frenum by the large spots on the side of the body, the reduced scale coverage on the pectoral base and prepelvic area, short round pelvic fin and absence of opercular scales ",Up to 13.2 cm,,"Upper Fly River system of Papua New Guinea and (?) Ajkwa River, Papua Province, Indonesia.","Freshwater; benthopelagic. Tropical; 5°S - 6°S, 141°E - 142°E",Not Available,https://fishbase.mnhn.fr/summary/Glossogobius-robertsi.html,https://fishbase.mnhn.fr/images/thumbnails/gif/tn_GOBIIDT0.gif
Glossogobius torrentis,Not Available,White water goby,Gobiidae,Native,Least Concern (LC),"GLOSS042-21 - Glossogobius torrentis [COI-5P:548]	",Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 1; Anal soft rays: 7 - 8,Glossogobius torrentis (White Water Goby) is a species of ray-finned fishes in the family gobies. They are associated with freshwater habitat. They have sexual reproduction.,,Inhabits relatively fast-flowing streams in hilly or mountainous terrain between about 200 and 1800 m elevation.,Papua New Guinea.,Freshwater; demersal. Tropical; 3°S - 7°S,Not Available,https://fishbase.mnhn.fr/summary/Glossogobius-torrentis.html,https://museum.wa.gov.au/catalogues-beta/digitised-types/ichthyology/glossogobius-torrentis
Gobiodon acicularis,Not Available,Needlespine coral goby,Gobiidae,Native,Near Threatened (NT),"ANGBF49693-19 - Gobiodon acicularis [COI-5P:652]	","Characterized by yellowish-brown to black color including fins; triangular first dorsal fin, prolonged and filamentous at apex; absence of scales; complete pelvic fin frenum and basal membrane; pelvic fin reaching anus; depth of body at pelvic fin level 2.0-2.5 in SL ",Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10-11; Anal spines: 1; Anal soft rays: 9. Only species in the genus with a filamentous first dorsal spine.,Up to 3.9 cm,"Coralgobies are highly specialised and live exclusively between branches of living acroporid corals.
Facultative air-breathing. 	Feeds on coral tissue, mucous, filamentous algae, detritus and tiny invertebrates. 	Coralgobies are hermaphrodites, and individuals can change sex bi-directionally - from female to male and male to female. This ensures that there is always a breeding pair within a coral head.","Western Pacific: Indonesia, Papua New Guinea to Solomon Islands, Palau and Austrtalia.","These obligate coral-dwelling gobies live exclusively between branches of acroporid corals, especially those of the genera Echinopora and Hydnophora.
A coralgoby pair inhabits the same coral colony for most of their adult life.  Marine; reef-associated; depth range ? - 10 m. Tropical",Not Available,"Bray, D.J. 2021, Gobiodon acicularis in Fishes of Australia, accessed 27 Jun 2024, https://fishesofaustralia.net.au/home/species/2233 https://fishbase.mnhn.fr/summary/Gobiodon-acicularis.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=3&ID=28055&what=species
Gobiodon aoyagii,Not Available,,Gobiidae,Native ,Vulnerable (VU),"ANGBF49696-19 - Gobiodon aoyagii [COI-5P:652]	",Dorsal spines (total): 7; Dorsal soft rays (total): 9-11; Anal spines: 1; Anal soft rays: 8 - 9; Vertebrae: 25 - 27.,"A yellowish-green to sky blue coralgoby with many reddish spots and/or stripes on the head and body, including 2 round reddish spots on the pectoral-fin base, and reddish spots on the ventral surface of the head",Up to 3.5 cm,"Facultative air-breathing in the genus. Coralgobies live in symbiotic relationships with stony corals - usually of the genus Acropora - relying on the corals for shelter, food and a site for reproduction.","Japan, Philippines, Australia, Papua New Guinea and East Indies.","Observed in protected bays and reef edges and slopes of Japan, in the interstices among branches of corals of the genus Acropora. In Papua New Guinea and the Great Barrier Reef, it is reported to almost totally be confined to Acropora tenuis. Marine; benthopelagic; depth range 2 - 10 m . Subtropical",Not Available,"Bray, D.J. 2018, Gobiodon aoyagii in Fishes of Australia, accessed 27 Jun 2024, https://fishesofaustralia.net.au/home/species/5304 https://fishbase.mnhn.fr/summary/Gobiodon-aoyagii.html",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=67195&what=species
Gobiodon ceramensis,Not Available,Ceram coralgoby,Gobiidae,Native   ,Near Threatened (NT),"ANGBF49529-19 - Gobiodon ceramensis [COI-5P:652]	",Dorsal spines (total): 6 - 7; Dorsal soft rays (total): 10; Anal spines: 1; Anal soft rays: 8 - 9. ,Characterized by uniform black body color including fins; absence of scales; complete pelvic fin frenum and basal membrane; depth of body at pelvic fin level 3.0-3.5 in SL ,Up to 3.5 cm,"Facultative air-breathing; A coral-commensal species. Found among branches of hard corals in 2-15 m, often with Stylophora pistillata ","Western Pacific: Indonesia, Papua New Guinea and Queensland (Australia).",,Not Available,https://fishbase.mnhn.fr/summary/Gobiodon-ceramensis.html,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=61404&what=species
